algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,30,29,62,0.002669095993041992,1
BFS,2,105,104,319,0.011553049087524414,1
BFS,3,66,65,111,0.009600639343261719,1
BFS,4,45,44,170,0.00398707389831543,1
BFS,5,111,110,201,0.012113809585571289,1
BFS,6,59,58,100,0.011385917663574219,1
BFS,7,68,67,177,0.008465051651000977,1
BFS,8,49,48,146,0.004995584487915039,1
BFS,9,60,59,80,0.010997533798217773,1
BFS,10,89,88,304,0.010502338409423828,1
BFS,11,62,61,160,0.006609678268432617,1
BFS,12,74,73,181,0.014516353607177734,1
BFS,13,10,9,33,0.0009961128234863281,1
BFS,14,83,82,156,0.010592222213745117,1
BFS,15,43,42,123,0.00680088996887207,1
BFS,16,112,111,181,0.01192164421081543,1
BFS,17,90,89,149,0.01605510711669922,1
BFS,18,82,81,183,0.010582447052001953,1
BFS,19,20,19,26,0.001994609832763672,1
BFS,20,91,90,130,0.011585474014282227,1
BFS,21,103,102,195,0.015847206115722656,1
BFS,22,30,29,39,0.0029916763305664062,1
BFS,23,151,150,360,0.01551055908203125,1
BFS,24,28,27,87,0.002992868423461914,1
BFS,25,67,66,213,0.010514020919799805,1
BFS,26,40,39,60,0.0034945011138916016,1
BFS,27,14,13,28,0.0015048980712890625,1
BFS,28,66,65,113,0.007011890411376953,1
BFS,29,43,42,53,0.00354766845703125,1
BFS,30,46,45,159,0.006431102752685547,1
DFS,1,3582,3581,9960,0.013990163803100586,1
DFS,2,441,440,1277,0.0019948482513427734,1
DFS,3,1526,1525,4151,0.005983829498291016,1
DFS,4,345,344,1020,0.001501321792602539,1
DFS,5,1531,1530,4117,0.004987955093383789,1
DFS,6,3879,3878,10812,0.0156252384185791,1
DFS,7,766,765,2123,0.0029921531677246094,1
DFS,8,1201,1200,3394,0.003989458084106445,1
DFS,9,3788,3787,10532,0.016241788864135742,1
DFS,10,917,916,2650,0.015556097030639648,1
DFS,11,1398,1397,3962,0.005986690521240234,1
DFS,12,2784,2783,7763,0.00948190689086914,1
DFS,13,3102,3101,8627,0.011510372161865234,1
DFS,14,3991,3990,11046,0.015337467193603516,1
DFS,15,2641,2640,7393,0.009522438049316406,1
DFS,16,2354,2353,6479,0.008582830429077148,1
DFS,17,3926,3925,10815,0.01566004753112793,1
DFS,18,1688,1687,4741,0.005621671676635742,1
DFS,19,3964,3963,10938,0.016733169555664062,1
DFS,20,2559,2558,7104,0.008574724197387695,1
DFS,21,3617,3616,10063,0.01409602165222168,1
DFS,22,4286,4285,11835,0.017295360565185547,1
DFS,23,3453,3452,9586,0.01252603530883789,1
DFS,24,3378,3377,9325,0.016158342361450195,1
DFS,25,2603,2602,7393,0.009753227233886719,1
DFS,26,2476,2475,6910,0.009857892990112305,1
DFS,27,256,255,710,0.0014791488647460938,1
DFS,28,3912,3911,10813,0.015124320983886719,1
DFS,29,3353,3352,9191,0.011834383010864258,1
DFS,30,1104,1103,3139,0.004495859146118164,1
DLS,1,0,0,0,0.0,0
DLS,2,0,0,0,0.000997304916381836,0
DLS,3,0,0,0,0.0,0
DLS,4,0,0,0,0.000997304916381836,0
DLS,5,0,0,0,0.0,0
DLS,6,0,0,0,0.0,0
DLS,7,0,0,0,0.000997304916381836,0
DLS,8,0,0,0,0.0,0
DLS,9,0,0,0,0.0009970664978027344,0
DLS,10,0,0,0,0.0,0
DLS,11,0,0,0,0.0009975433349609375,0
DLS,12,0,0,0,0.0,0
DLS,13,0,0,0,0.0,0
DLS,14,0,0,0,0.0,0
DLS,15,0,0,0,0.0015053749084472656,0
DLS,16,0,0,0,0.0,0
DLS,17,0,0,0,0.00102996826171875,0
DLS,18,0,0,0,0.0,0
DLS,19,0,0,0,0.0,0
DLS,20,0,0,0,0.0009987354278564453,0
DLS,21,0,0,0,0.0,0
DLS,22,0,0,0,0.000997304916381836,0
DLS,23,0,0,0,0.0,0
DLS,24,0,0,0,0.0010228157043457031,0
DLS,25,0,0,0,0.0,0
DLS,26,0,0,0,0.0009968280792236328,0
DLS,27,0,0,0,0.0,0
DLS,28,0,0,0,0.0,0
DLS,29,0,0,0,0.0009729862213134766,0
DLS,30,0,0,0,0.0,0
UCS_e1,1,30,29,No aplica,0.007638216018676758,1
UCS_e1,2,105,104,No aplica,0.028397321701049805,1
UCS_e1,3,66,65,No aplica,0.020865201950073242,1
UCS_e1,4,45,44,No aplica,0.01013040542602539,1
UCS_e1,5,111,110,No aplica,0.03064727783203125,1
UCS_e1,6,59,58,No aplica,0.028760433197021484,1
UCS_e1,7,68,67,No aplica,0.020183563232421875,1
UCS_e1,8,49,48,No aplica,0.015079975128173828,1
UCS_e1,9,60,59,No aplica,0.027187347412109375,1
UCS_e1,10,89,88,No aplica,0.026510000228881836,1
UCS_e1,11,62,61,No aplica,0.015478134155273438,1
UCS_e1,12,74,73,No aplica,0.03690505027770996,1
UCS_e1,13,10,9,No aplica,0.0009722709655761719,1
UCS_e1,14,83,82,No aplica,0.026793479919433594,1
UCS_e1,15,43,42,No aplica,0.01561427116394043,1
UCS_e1,16,112,111,No aplica,0.02998518943786621,1
UCS_e1,17,90,89,No aplica,0.04054570198059082,1
UCS_e1,18,82,81,No aplica,0.02534770965576172,1
UCS_e1,19,20,19,No aplica,0.003986358642578125,1
UCS_e1,20,91,90,No aplica,0.028621196746826172,1
UCS_e1,21,103,102,No aplica,0.03780865669250488,1
UCS_e1,22,30,29,No aplica,0.007586240768432617,1
UCS_e1,23,151,150,No aplica,0.03946495056152344,1
UCS_e1,24,28,27,No aplica,0.0059871673583984375,1
UCS_e1,25,67,66,No aplica,0.025652408599853516,1
UCS_e1,26,40,39,No aplica,0.011196136474609375,1
UCS_e1,27,14,13,No aplica,0.001989603042602539,1
UCS_e1,28,66,65,No aplica,0.016694307327270508,1
UCS_e1,29,43,42,No aplica,0.008456945419311523,1
UCS_e1,30,46,45,No aplica,0.016506195068359375,1
UCS_e2,1,30,No aplica,62,0.008484363555908203,1
UCS_e2,2,105,No aplica,319,0.02199101448059082,1
UCS_e2,3,66,No aplica,111,0.023630619049072266,1
UCS_e2,4,45,No aplica,170,0.03890419006347656,1
UCS_e2,5,111,No aplica,201,0.03619194030761719,1
UCS_e2,6,59,No aplica,100,0.01779341697692871,1
UCS_e2,7,68,No aplica,177,0.030328750610351562,1
UCS_e2,8,49,No aplica,146,0.013858795166015625,1
UCS_e2,9,60,No aplica,80,0.013541460037231445,1
UCS_e2,10,89,No aplica,304,0.03883624076843262,1
UCS_e2,11,62,No aplica,160,0.021701574325561523,1
UCS_e2,12,74,No aplica,181,0.04431629180908203,1
UCS_e2,13,10,No aplica,33,0.001989603042602539,1
UCS_e2,14,83,No aplica,156,0.02129387855529785,1
UCS_e2,15,43,No aplica,123,0.02532052993774414,1
UCS_e2,16,112,No aplica,181,0.03168320655822754,1
UCS_e2,17,90,No aplica,149,0.030946016311645508,1
UCS_e2,18,82,No aplica,183,0.039891958236694336,1
UCS_e2,19,20,No aplica,26,0.0009968280792236328,1
UCS_e2,20,91,No aplica,130,0.027024507522583008,1
UCS_e2,21,103,No aplica,195,0.044336795806884766,1
UCS_e2,22,30,No aplica,39,0.0039904117584228516,1
