algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,30,29,62,0.003020763397216797,1
BFS,2,105,104,319,0.011522531509399414,1
BFS,3,66,65,111,0.010146856307983398,1
BFS,4,45,44,170,0.0039865970611572266,1
BFS,5,111,110,201,0.01312708854675293,1
BFS,6,59,58,100,0.01150369644165039,1
BFS,7,68,67,177,0.00857686996459961,1
BFS,8,49,48,146,0.006953716278076172,1
BFS,9,60,59,80,0.010189294815063477,1
BFS,10,89,88,304,0.01238560676574707,1
BFS,11,62,61,160,0.0059816837310791016,1
BFS,12,74,73,181,0.015084266662597656,1
BFS,13,10,9,33,0.0010001659393310547,1
BFS,14,83,82,156,0.010988235473632812,1
BFS,15,43,42,123,0.0065021514892578125,1
BFS,16,112,111,181,0.012547016143798828,1
BFS,17,90,89,149,0.017050981521606445,1
BFS,18,82,81,183,0.010522603988647461,1
BFS,19,20,19,26,0.001998424530029297,1
BFS,20,91,90,130,0.011553049087524414,1
BFS,21,103,102,195,0.01672053337097168,1
BFS,22,30,29,39,0.0029883384704589844,1
BFS,23,151,150,360,0.015819311141967773,1
BFS,24,28,27,87,0.0019943714141845703,1
BFS,25,67,66,213,0.011091947555541992,1
BFS,26,40,39,60,0.004013776779174805,1
BFS,27,14,13,28,0.001600503921508789,1
BFS,28,66,65,113,0.007006645202636719,1
BFS,29,43,42,53,0.0035245418548583984,1
BFS,30,46,45,159,0.007009029388427734,1
DFS,1,3582,3581,9960,0.014699697494506836,1
DFS,2,441,440,1277,0.001994609832763672,1
DFS,3,1526,1525,4151,0.005582571029663086,1
DFS,4,345,344,1020,0.0010249614715576172,1
DFS,5,1531,1530,4117,0.005983829498291016,1
DFS,6,3879,3878,10812,0.016222238540649414,1
DFS,7,766,765,2123,0.0019941329956054688,1
DFS,8,1201,1200,3394,0.0040130615234375,1
DFS,9,3788,3787,10532,0.01651167869567871,1
DFS,10,917,916,2650,0.016453981399536133,1
DFS,11,1398,1397,3962,0.004988670349121094,1
DFS,12,2784,2783,7763,0.010938167572021484,1
DFS,13,3102,3101,8627,0.012009859085083008,1
DFS,14,3991,3990,11046,0.015467166900634766,1
DFS,15,2641,2640,7393,0.010597467422485352,1
DFS,16,2354,2353,6479,0.008535385131835938,1
DFS,17,3926,3925,10815,0.01504826545715332,1
DFS,18,1688,1687,4741,0.005513668060302734,1
DFS,19,3964,3963,10938,0.017154932022094727,1
DFS,20,2559,2558,7104,0.009573698043823242,1
DFS,21,3617,3616,10063,0.014604806900024414,1
DFS,22,4286,4285,11835,0.01700305938720703,1
DFS,23,3453,3452,9586,0.011518239974975586,1
DFS,24,3378,3377,9325,0.016950368881225586,1
DFS,25,2603,2602,7393,0.009346485137939453,1
DFS,26,2476,2475,6910,0.009493350982666016,1
DFS,27,256,255,710,0.0009963512420654297,1
DFS,28,3912,3911,10813,0.01651167869567871,1
DFS,29,3353,3352,9191,0.012607097625732422,1
DFS,30,1104,1103,3139,0.004230022430419922,1
DLS,1,0,0,0,0.0010209083557128906,0
DLS,2,0,0,0,0.0,0
DLS,3,0,0,0,0.0,0
DLS,4,0,0,0,0.0009975433349609375,0
DLS,5,0,0,0,0.0,0
DLS,6,0,0,0,0.0010023117065429688,0
DLS,7,0,0,0,0.0,0
DLS,8,0,0,0,0.0009922981262207031,0
DLS,9,0,0,0,0.0,0
DLS,10,0,0,0,0.0,0
DLS,11,0,0,0,0.0009968280792236328,0
DLS,12,0,0,0,0.0,0
DLS,13,0,0,0,0.0009737014770507812,0
DLS,14,0,0,0,0.0,0
DLS,15,0,0,0,0.0010211467742919922,0
DLS,16,0,0,0,0.0,0
DLS,17,0,0,0,0.0009968280792236328,0
DLS,18,0,0,0,0.0,0
DLS,19,0,0,0,0.0,0
DLS,20,0,0,0,0.0009975433349609375,0
DLS,21,0,0,0,0.0005273818969726562,0
DLS,22,0,0,0,0.0,0
DLS,23,0,0,0,0.0,0
DLS,24,0,0,0,0.0013265609741210938,0
DLS,25,0,0,0,0.0,0
DLS,26,0,0,0,0.0,0
DLS,27,0,0,0,0.00099945068359375,0
DLS,28,0,0,0,0.0,0
DLS,29,0,0,0,0.0009951591491699219,0
DLS,30,0,0,0,0.0,0
UCS_e1,1,30,29,No aplica,0.007538318634033203,1
UCS_e1,2,105,104,No aplica,0.02860283851623535,1
