Algorithm_name,Environment size,Solution,Cost,States,Time
HillClimbing,4,"[2, 0, 1, 3]",1,3,0.0009961128234863281
HillClimbing,4,"[0, 3, 1, 2]",1,2,0.000997781753540039
HillClimbing,4,"[2, 0, 3, 1]",0,3,0.0
HillClimbing,4,"[1, 2, 0, 3]",1,2,0.0
HillClimbing,4,"[0, 2, 3, 1]",1,3,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,2,0.0
HillClimbing,4,"[1, 3, 0, 2]",0,3,0.0
HillClimbing,4,"[1, 2, 0, 3]",1,2,0.0009961128234863281
HillClimbing,4,"[0, 3, 1, 2]",1,3,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,2,0.0009970664978027344
HillClimbing,4,"[0, 1, 3, 2]",2,2,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,2,0.0
HillClimbing,4,"[1, 3, 0, 2]",0,2,0.0
HillClimbing,4,"[3, 1, 0, 2]",1,2,0.0010135173797607422
HillClimbing,4,"[2, 0, 3, 1]",0,1,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,2,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,2,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,3,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,1,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,3,0.0
HillClimbing,4,"[1, 3, 0, 2]",0,2,0.0009975433349609375
HillClimbing,4,"[2, 0, 3, 1]",0,3,0.0
HillClimbing,4,"[1, 3, 0, 2]",0,3,0.0
HillClimbing,4,"[1, 2, 0, 3]",1,3,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,2,0.0005033016204833984
HillClimbing,4,"[1, 3, 2, 0]",1,2,0.00099945068359375
HillClimbing,4,"[1, 2, 0, 3]",1,2,0.0
HillClimbing,4,"[3, 0, 2, 1]",1,3,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,2,0.0
HillClimbing,4,"[2, 0, 3, 1]",0,1,0.0
HillClimbing,8,"[7, 3, 6, 0, 5, 1, 4, 2]",1,5,0.005881071090698242
HillClimbing,8,"[6, 1, 5, 0, 0, 3, 7, 2]",1,5,0.006491184234619141
HillClimbing,8,"[7, 2, 6, 3, 1, 0, 4, 5]",2,3,0.0034945011138916016
HillClimbing,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,3,0.002993345260620117
HillClimbing,8,"[6, 3, 0, 4, 1, 4, 2, 7]",1,4,0.003518342971801758
HillClimbing,8,"[5, 7, 1, 6, 0, 2, 0, 4]",2,3,0.0029888153076171875
HillClimbing,8,"[7, 2, 0, 5, 3, 1, 6, 4]",1,4,0.0049877166748046875
HillClimbing,8,"[5, 7, 1, 6, 0, 2, 4, 7]",1,5,0.00498652458190918
HillClimbing,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,4,0.00610804557800293
HillClimbing,8,"[6, 4, 0, 7, 0, 2, 5, 1]",1,4,0.00649571418762207
HillClimbing,8,"[4, 1, 5, 0, 5, 7, 2, 6]",1,5,0.0069828033447265625
HillClimbing,8,"[4, 7, 5, 0, 2, 6, 1, 3]",1,5,0.005578279495239258
HillClimbing,8,"[5, 3, 6, 4, 7, 1, 0, 2]",1,5,0.005221128463745117
HillClimbing,8,"[0, 6, 4, 7, 1, 3, 5, 2]",0,5,0.005569934844970703
HillClimbing,8,"[1, 3, 6, 2, 7, 5, 0, 0]",1,4,0.003980398178100586
HillClimbing,8,"[2, 6, 3, 7, 0, 4, 5, 1]",1,5,0.0055141448974609375
HillClimbing,8,"[3, 1, 6, 2, 0, 5, 7, 4]",1,4,0.004984855651855469
HillClimbing,8,"[4, 2, 0, 6, 3, 0, 2, 7]",2,5,0.006312370300292969
HillClimbing,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,6,0.007981061935424805
HillClimbing,8,"[2, 4, 1, 7, 5, 3, 6, 0]",0,4,0.004593372344970703
HillClimbing,8,"[3, 7, 2, 7, 1, 6, 0, 5]",1,3,0.003551006317138672
HillClimbing,8,"[0, 0, 3, 6, 2, 7, 1, 4]",1,3,0.003999471664428711
HillClimbing,8,"[7, 2, 0, 5, 4, 1, 3, 6]",1,5,0.004519462585449219
HillClimbing,8,"[3, 0, 4, 1, 7, 5, 2, 0]",2,3,0.0029942989349365234
HillClimbing,8,"[0, 3, 0, 7, 5, 2, 1, 6]",2,4,0.005488157272338867
HillClimbing,8,"[3, 6, 0, 7, 5, 1, 2, 4]",1,5,0.00498652458190918
HillClimbing,8,"[0, 2, 5, 7, 1, 4, 0, 5]",2,5,0.005524396896362305
HillClimbing,8,"[2, 0, 6, 3, 5, 0, 4, 7]",2,3,0.0034990310668945312
HillClimbing,8,"[0, 2, 7, 5, 1, 6, 1, 3]",2,4,0.0055773258209228516
HillClimbing,8,"[2, 0, 3, 5, 1, 4, 6, 7]",4,3,0.0035011768341064453
HillClimbing,10,"[6, 1, 9, 2, 7, 3, 8, 8, 4, 0]",2,4,0.011638164520263672
HillClimbing,10,"[4, 1, 8, 6, 3, 0, 2, 9, 7, 5]",2,4,0.01254129409790039
HillClimbing,10,"[5, 2, 9, 3, 0, 7, 3, 1, 6, 4]",1,5,0.014108896255493164
HillClimbing,10,"[1, 3, 0, 8, 4, 9, 1, 6, 2, 6]",2,4,0.010592937469482422
HillClimbing,10,"[3, 1, 7, 1, 8, 0, 2, 6, 9, 5]",2,5,0.015267610549926758
HillClimbing,10,"[3, 8, 8, 5, 1, 2, 0, 6, 4, 9]",2,5,0.013475656509399414
HillClimbing,10,"[0, 3, 7, 4, 8, 0, 2, 4, 6, 1]",2,3,0.008526802062988281
HillClimbing,10,"[6, 4, 0, 4, 9, 7, 5, 2, 8, 1]",1,7,0.0200040340423584
HillClimbing,10,"[0, 7, 5, 1, 6, 8, 2, 4, 9, 3]",2,5,0.01699042320251465
HillClimbing,10,"[1, 6, 2, 7, 1, 8, 0, 9, 3, 5]",1,6,0.01802659034729004
HillClimbing,10,"[3, 1, 6, 8, 5, 2, 4, 9, 7, 5]",1,6,0.0181424617767334
HillClimbing,10,"[2, 6, 3, 7, 0, 9, 6, 1, 5, 8]",2,5,0.014545679092407227
HillClimbing,10,"[4, 8, 0, 3, 7, 7, 1, 6, 2, 5]",1,5,0.015639781951904297
HillClimbing,10,"[7, 0, 4, 6, 9, 5, 2, 8, 6, 3]",1,5,0.015183448791503906
HillClimbing,10,"[3, 3, 7, 9, 1, 5, 0, 8, 6, 4]",1,6,0.017681121826171875
HillClimbing,10,"[5, 9, 1, 6, 4, 2, 0, 8, 3, 7]",0,4,0.011577367782592773
HillClimbing,10,"[0, 7, 1, 8, 0, 2, 4, 9, 1, 3]",2,4,0.011972188949584961
HillClimbing,10,"[3, 6, 2, 9, 1, 4, 0, 8, 0, 5]",1,5,0.014934539794921875
HillClimbing,10,"[5, 3, 6, 9, 4, 8, 1, 0, 2, 7]",2,4,0.011516094207763672
HillClimbing,10,"[2, 8, 6, 9, 1, 1, 4, 7, 3, 0]",2,5,0.016092777252197266
HillClimbing,10,"[5, 2, 4, 1, 6, 9, 3, 7, 0, 8]",2,5,0.013904094696044922
HillClimbing,10,"[9, 2, 5, 1, 4, 7, 0, 3, 3, 8]",1,5,0.014285564422607422
HillClimbing,10,"[3, 5, 0, 8, 6, 4, 1, 7, 9, 3]",1,4,0.012043476104736328
HillClimbing,10,"[8, 3, 9, 7, 1, 4, 6, 0, 9, 5]",1,6,0.01848006248474121
HillClimbing,10,"[4, 1, 9, 6, 3, 0, 2, 8, 5, 7]",0,6,0.016980886459350586
HillClimbing,10,"[8, 5, 0, 0, 6, 4, 1, 7, 9, 3]",1,6,0.020978450775146484
HillClimbing,10,"[7, 3, 2, 6, 9, 1, 4, 8, 0, 8]",2,3,0.00875401496887207
HillClimbing,10,"[1, 9, 7, 3, 8, 0, 2, 6, 5, 2]",2,5,0.014742136001586914
HillClimbing,10,"[2, 5, 1, 0, 9, 6, 4, 7, 8, 3]",2,5,0.01450657844543457
